ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
NM,New Mexico,Computer and Information Research Scientists,750,0.938,4.79,63.56,"132,210",41.64,51.49,61.59,75.79,90.25,"86,600","107,090","128,100","157,650","187,720",,
NY,New York,Computer and Information Systems Managers,"26,520",2.881,1.12,90.27,"187,770",49.47,62.29,81.14,#,#,"102,890","129,560","168,760",#,#,,
NY,New York,Computer and Mathematical Occupations,"259,090",28.138,0.94,45.85,"95,370",21.88,30.12,42.28,58.50,75.64,"45,510","62,640","87,930","121,680","157,330",,
NY,New York,Computer and Information Research Scientists,"1,200",0.130,0.67,65.64,"136,540",40.36,48.18,59.69,79.91,96.30,"83,940","100,210","124,160","166,210","200,310",,
NC,North Carolina,Computer and Information Systems Managers,"12,360",2.876,1.12,67.74,"140,900",42.03,52.24,64.93,78.51,96.69,"87,430","108,670","135,050","163,290","201,110",,
NC,North Carolina,Computer and Mathematical Occupations,"129,080",30.030,1.00,41.53,"86,380",20.88,29.01,40.44,52.69,63.43,"43,430","60,350","84,120","109,600","131,940",,
NC,North Carolina,Computer and Information Research Scientists,110,0.026,0.13,49.86,"103,710",23.88,36.13,52.79,62.72,74.20,"49,670","75,140","109,810","130,460","154,340",,
ND,North Dakota,Computer and Information Systems Managers,500,1.195,0.47,57.58,"119,770",36.68,44.09,53.66,65.08,79.64,"76,290","91,700","111,600","135,370","165,650",,
ND,North Dakota,Computer and Mathematical Occupations,"7,420",17.812,0.60,31.92,"66,390",18.50,23.78,30.18,38.50,47.63,"38,490","49,460","62,770","80,080","99,080",,
OH,Ohio,Computer and Information Systems Managers,"14,110",2.626,1.02,64.36,"133,870",37.35,46.80,59.26,75.37,97.08,"77,680","97,350","123,250","156,760","201,930",,
OH,Ohio,Computer and Mathematical Occupations,"148,050",27.567,0.92,38.79,"80,690",19.63,26.79,36.89,48.14,59.71,"40,830","55,730","76,730","100,140","124,190",,
OH,Ohio,Computer and Information Research Scientists,220,0.042,0.21,53.66,"111,610",35.78,41.95,50.96,60.67,77.89,"74,410","87,250","105,990","126,190","162,020",,
OK,Oklahoma,Computer and Information Systems Managers,"3,350",2.128,0.83,52.26,"108,700",30.08,37.58,49.01,62.23,78.04,"62,570","78,160","101,950","129,440","162,330",,
OK,Oklahoma,Computer and Mathematical Occupations,"31,440",19.989,0.67,33.44,"69,560",16.49,22.39,31.24,42.58,53.64,"34,310","46,580","64,980","88,560","111,570",,
OK,Oklahoma,Computer and Information Research Scientists,500,0.318,1.62,41.13,"85,550",27.03,34.83,41.25,47.75,55.56,"56,230","72,440","85,810","99,310","115,570",,
OR,Oregon,Computer and Information Systems Managers,"5,360",2.930,1.14,62.97,"130,980",35.59,46.21,59.97,75.01,93.74,"74,030","96,120","124,730","156,020","194,980",,
OR,Oregon,Computer and Mathematical Occupations,"53,060",28.982,0.97,41.23,"85,750",20.62,28.46,39.88,51.42,62.98,"42,880","59,190","82,940","106,960","130,990",,
OR,Oregon,Computer and Information Research Scientists,280,0.152,0.78,*,*,*,*,*,*,*,*,*,*,*,*,,
PA,Pennsylvania,Computer and Information Systems Managers,"12,810",2.215,0.86,69.99,"145,590",42.22,52.72,66.13,80.94,#,"87,820","109,670","137,540","168,350",#,,
PA,Pennsylvania,Computer and Mathematical Occupations,"158,660",27.442,0.92,39.93,"83,060",20.77,27.81,37.78,49.64,62.04,"43,200","57,850","78,580","103,260","129,040",,
PA,Pennsylvania,Computer and Information Research Scientists,370,0.065,0.33,52.95,"110,140",34.42,41.86,49.67,58.21,73.68,"71,600","87,070","103,320","121,070","153,250",,
RI,Rhode Island,Computer and Information Systems Managers,"1,200",2.520,0.98,69.83,"145,240",44.55,54.32,66.55,79.62,97.64,"92,670","112,980","138,410","165,600","203,080",,
RI,Rhode Island,Computer and Mathematical Occupations,"14,490",30.454,1.02,41.08,"85,450",22.01,29.75,40.04,51.42,60.93,"45,780","61,870","83,280","106,960","126,740",,
RI,Rhode Island,Computer and Information Research Scientists,410,0.859,4.39,52.83,"109,880",33.03,46.25,56.08,59.08,62.61,"68,710","96,200","116,640","122,880","130,230",,
SC,South Carolina,Computer and Information Systems Managers,"2,940",1.461,0.57,57.64,"119,900",33.09,42.16,54.77,69.86,82.28,"68,840","87,700","113,920","145,310","171,140",,
SC,South Carolina,Computer and Mathematical Occupations,"39,530",19.672,0.66,34.94,"72,680",17.86,23.87,32.79,44.05,55.28,"37,150","49,650","68,200","91,620","114,980",,
SD,South Dakota,Computer and Information Systems Managers,210,0.512,0.20,61.53,"127,970",44.13,50.59,59.23,71.30,81.03,"91,790","105,230","123,200","148,310","168,550",,
SD,South Dakota,Computer and Mathematical Occupations,"8,040",19.170,0.64,30.78,"64,020",17.18,21.93,28.89,37.63,47.37,"35,740","45,620","60,090","78,270","98,530",,
TN,Tennessee,Computer and Information Systems Managers,"5,180",1.776,0.69,56.59,"117,710",30.48,40.47,52.70,69.73,84.61,"63,390","84,170","109,610","145,040","176,000",,
TN,Tennessee,Computer and Mathematical Occupations,"54,730",18.770,0.63,35.60,"74,050",18.01,24.51,33.72,45.25,56.10,"37,460","50,970","70,140","94,120","116,700",,
TN,Tennessee,Computer and Information Research Scientists,210,0.071,0.36,52.62,"109,450",28.37,40.25,49.40,65.08,76.18,"59,020","83,730","102,750","135,370","158,440",,
TX,Texas,Computer and Information Systems Managers,"19,420",1.634,0.64,77.18,"160,530",44.52,57.07,72.17,90.40,#,"92,600","118,710","150,120","188,040",#,,
TX,Texas,Computer and Mathematical Occupations,"353,460",29.725,0.99,43.00,"89,450",20.94,29.13,40.88,55.15,68.45,"43,540","60,590","85,020","114,710","142,370",,
